   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.84037,             0.70859,             0.81157,             0.59159,            0.026805,              0.1502,           0.0061161,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
              0.8484,             0.71479,             0.82241,             0.59975,             0.03311,             0.12398,           0.0037099,                0.01,                0.01,             0.90462,             0.00037,              1.9881,                 0.8,             0.09347,             0.06268,             0.35655,              0.8396,             0.93986,             0.78403,                 0.2,                   4,                   0,              0.0161,                 0.9,                 0.4,                   0,             0.11601,             0.37123,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1578
             0.76686,             0.78073,              0.8239,             0.60295,            0.033064,             0.12351,           0.0038704,             0.00997,                0.01,             0.90411,             0.00037,              1.9714,             0.80223,             0.09428,             0.06205,             0.35947,              0.8396,             0.93028,             0.79076,                 0.2,               4.025,                   0,             0.01611,                 0.9,                 0.4,                   0,             0.11647,             0.37123,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1578
             0.80825,             0.75005,             0.81595,             0.58647,            0.034338,             0.12056,            0.003363,                0.01,             0.01228,             0.89441,             0.00039,              2.1347,                0.95,             0.12388,             0.07095,             0.35655,             0.70616,             0.94438,             0.99366,                 0.2,              2.9808,                   0,              0.0161,                 0.9,             0.24276,                   0,             0.10531,             0.37123,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9572
             0.78539,             0.73966,               0.806,             0.58166,            0.026786,             0.15221,           0.0061965,             0.00988,                0.01,               0.937,              0.0005,              3.0792,                 0.8,             0.10029,             0.04943,             0.49584,             0.98257,                   1,             0.99444,                 0.2,              4.0769,                   0,             0.01486,             0.71109,             0.40596,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.81526,             0.73512,              0.8156,             0.59352,            0.032278,             0.11485,           0.0032976,                0.01,              0.0125,             0.89101,             0.00041,              2.2097,                0.95,             0.12388,             0.06681,             0.35565,             0.75353,             0.87788,              1.0497,                 0.2,              2.8792,                   0,              0.0151,                 0.9,             0.23485,                   0,             0.09594,             0.37502,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6388
             0.80407,              0.7552,             0.82319,             0.60274,            0.029025,             0.13638,           0.0054375,             0.01091,                0.01,             0.95685,             0.00055,              3.0605,             0.65002,             0.09418,             0.05321,                 0.5,              0.6755,              0.8861,                   1,                 0.2,              4.1907,                   0,               0.015,             0.72872,             0.44236,                   0,             0.10846,             0.48796,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2592
             0.84541,             0.73641,             0.82571,              0.5939,            0.031459,             0.11439,           0.0033098,             0.00999,             0.01267,             0.89039,             0.00041,              2.2662,                0.95,             0.12288,              0.0645,             0.34987,             0.76104,             0.89436,               1.043,                 0.2,              2.8173,                   0,             0.01499,             0.89506,             0.23485,                   0,             0.10162,             0.37703,                   0,                   0,                   0,                 0.5,             0.98864,                   0,                   0,              2.6645
             0.82679,             0.74264,                0.83,             0.60304,            0.033387,             0.12459,           0.0037206,             0.01023,             0.01011,             0.90462,             0.00037,              1.9488,                 0.8,             0.09347,             0.06268,              0.3641,             0.82259,             0.93416,             0.78902,                 0.2,                   4,                   0,              0.0161,             0.88829,             0.40242,                   0,             0.11184,             0.36646,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1923
             0.62397,             0.49266,             0.49358,             0.33645,            0.033683,            0.095952,            0.020191,             0.00937,                0.01,             0.81621,              0.0003,              2.1734,             0.56981,             0.10901,             0.05515,             0.42117,             0.79849,             0.92093,             0.66262,                 0.2,              2.8627,                   0,             0.01665,             0.73778,             0.49274,                   0,             0.08952,             0.32044,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2569
