               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070505,             0.17202,           0.0031095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032778,           0.0032778,              0.0705
                   1,            0.038255,             0.12933,            0.001984,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059566,           0.0059566,            0.039846
                   2,            0.031821,             0.12113,            0.002101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079754,           0.0079754,            0.008531
                   3,            0.031356,             0.12262,           0.0022398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.028496,             0.11005,           0.0021903,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.027504,             0.11471,           0.0020604,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.025888,              0.1022,           0.0020768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,             0.02468,             0.10606,           0.0018749,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.024374,             0.10346,           0.0018167,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.023937,             0.10074,           0.0018776,             0.84037,             0.70859,             0.81157,             0.59159,            0.026805,              0.1502,           0.0061161,             0.00208,             0.00208,             0.00208
                   0,            0.080316,             0.13815,           0.0019271,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004958,            0.004958,            0.052086
                   1,            0.043057,              0.1035,           0.0014002,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   2,            0.045532,              0.1033,            0.002089,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   3,            0.037238,             0.09968,           0.0019796,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.035896,            0.091893,           0.0016861,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.033563,            0.092462,           0.0016371,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.031064,            0.082837,            0.001576,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.028574,            0.084301,           0.0014105,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.028049,            0.082335,           0.0013229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.027389,            0.080125,             0.00126,              0.8484,             0.71479,             0.82241,             0.59975,             0.03311,             0.12398,           0.0037099,             0.00208,             0.00208,             0.00208
                   0,            0.079444,             0.13754,           0.0019668,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004985,            0.004985,            0.052125
                   1,            0.042823,             0.10374,           0.0014246,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008983,            0.008983,            0.008983
                   2,             0.04463,             0.10173,           0.0021947,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008983,            0.008983,            0.008983
                   3,            0.037079,             0.10003,           0.0020056,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079959,           0.0079959,           0.0079959
                   4,            0.034197,            0.091146,           0.0016387,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070089,           0.0070089,           0.0070089
                   5,            0.033671,              0.0931,           0.0015887,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060219,           0.0060219,           0.0060219
                   6,            0.031199,            0.083154,           0.0016027,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050348,           0.0050348,           0.0050348
                   7,            0.028313,            0.084791,           0.0014227,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040478,           0.0040478,           0.0040478
                   8,            0.027658,             0.08232,           0.0013258,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030608,           0.0030608,           0.0030608
                   9,             0.02709,            0.079954,           0.0012735,             0.76686,             0.78073,              0.8239,             0.60295,            0.033064,             0.12351,           0.0038704,           0.0020738,           0.0020738,           0.0020738
                   0,            0.079988,             0.12555,           0.0013889,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046094,           0.0046094,            0.071388
                   1,             0.04294,             0.10077,           0.0017515,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083786,           0.0083786,            0.017089
                   2,            0.047358,            0.099837,           0.0022094,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080246,           0.0080246,           0.0080246
                   3,            0.042575,            0.095596,           0.0018758,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080246,           0.0080246,           0.0080246
                   4,            0.039355,            0.086818,           0.0017688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070368,           0.0070368,           0.0070368
                   5,            0.034959,            0.088596,           0.0017001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060491,           0.0060491,           0.0060491
                   6,            0.032232,            0.079782,           0.0016015,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0050614,           0.0050614,           0.0050614
                   7,            0.028687,            0.080102,           0.0013685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040737,           0.0040737,           0.0040737
