               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.031724,             0.12383,             0.01165,              0.9101,             0.51393,             0.59546,             0.40271,            0.028363,             0.13297,           0.0098109,           0.0032778,           0.0032778,              0.0705
                   1,            0.035034,             0.13007,             0.01174,             0.89473,              0.4925,             0.57339,             0.34018,            0.039014,             0.14232,              0.0109,            0.006598,            0.006598,            0.040487
                   2,            0.045666,             0.14704,             0.01363,              0.7606,             0.44432,             0.46708,             0.21488,            0.053159,             0.16599,             0.01343,           0.0099051,           0.0099051,            0.010461
                   3,            0.049468,             0.15856,            0.014904,              0.9243,              0.4371,             0.54739,             0.28127,            0.043418,             0.15275,            0.012568,           0.0099406,           0.0099406,           0.0099406
                   4,            0.048007,             0.13578,            0.013341,             0.82414,             0.49058,             0.54764,             0.30492,            0.041664,             0.14785,            0.013147,           0.0099406,           0.0099406,           0.0099406
                   5,            0.043523,              0.1385,            0.012662,             0.83297,             0.49323,             0.55737,             0.32728,            0.040745,             0.14513,            0.012404,           0.0099208,           0.0099208,           0.0099208
                   6,            0.044626,             0.12669,            0.012111,              0.8855,             0.48207,             0.55725,             0.30865,             0.04231,             0.14911,            0.012234,            0.009901,            0.009901,            0.009901
                   7,            0.043763,             0.13493,            0.012178,             0.77585,              0.4832,             0.52904,             0.33624,            0.043525,             0.14112,            0.011103,           0.0098812,           0.0098812,           0.0098812
                   8,            0.044049,             0.13097,            0.011546,             0.93927,             0.47627,             0.59872,             0.36365,             0.03647,             0.13877,            0.011614,           0.0098614,           0.0098614,           0.0098614
                   9,            0.040394,             0.12667,            0.010877,             0.95479,              0.4765,             0.59469,             0.37997,            0.035455,             0.13781,            0.010999,           0.0098416,           0.0098416,           0.0098416
                  10,            0.041848,             0.12956,            0.011023,             0.92006,             0.48905,             0.58483,              0.3508,            0.038818,             0.13768,            0.011033,           0.0098218,           0.0098218,           0.0098218
                  11,            0.039066,             0.12691,            0.010835,             0.91703,             0.48821,             0.59379,             0.33931,            0.039197,              0.1422,            0.010991,            0.009802,            0.009802,            0.009802
                  12,            0.042439,             0.11927,            0.010315,             0.90665,             0.48956,             0.60499,             0.36531,            0.041757,             0.14145,            0.011062,           0.0097822,           0.0097822,           0.0097822
                  13,            0.041081,             0.11941,            0.010135,             0.92166,             0.49854,             0.64296,             0.40046,            0.036448,              0.1361,            0.010634,           0.0097624,           0.0097624,           0.0097624
                  14,            0.041169,              0.1257,           0.0097496,             0.94873,             0.49226,             0.63883,             0.40143,             0.03637,             0.13791,             0.01071,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037654,             0.12307,           0.0094778,             0.46107,             0.64281,             0.63676,             0.39725,            0.035417,             0.13465,            0.010039,           0.0097228,           0.0097228,           0.0097228
                  16,            0.039628,             0.12298,           0.0089022,             0.48319,             0.62674,             0.64697,             0.40402,            0.034311,             0.13416,            0.010572,            0.009703,            0.009703,            0.009703
                  17,             0.03873,             0.12731,           0.0090747,             0.92933,             0.49678,             0.62747,             0.41001,            0.033709,             0.13541,            0.010585,           0.0096832,           0.0096832,           0.0096832
                  18,            0.039051,             0.11833,           0.0091646,             0.50715,             0.61792,             0.62242,             0.37374,            0.041279,             0.14386,            0.011419,           0.0096634,           0.0096634,           0.0096634
                  19,            0.037989,             0.12133,           0.0083958,             0.51027,             0.67125,              0.6394,             0.42741,            0.031955,             0.13433,            0.010133,           0.0096436,           0.0096436,           0.0096436
                  20,            0.038247,             0.11718,           0.0087956,             0.53267,              0.6788,             0.65196,             0.40166,            0.033296,             0.13267,           0.0096723,           0.0096238,           0.0096238,           0.0096238
                  21,            0.036894,             0.12344,            0.008113,             0.56296,             0.62445,             0.65765,             0.41005,            0.036433,             0.13787,           0.0098373,            0.009604,            0.009604,            0.009604
                  22,            0.036745,             0.11732,           0.0078122,              0.5342,             0.68258,             0.65562,             0.39634,            0.036816,             0.13676,           0.0097109,           0.0095842,           0.0095842,           0.0095842
                  23,            0.036248,             0.11575,           0.0078741,               0.586,             0.67691,             0.65796,             0.41605,            0.031861,             0.13195,           0.0094303,           0.0095644,           0.0095644,           0.0095644
                  24,            0.037769,              0.1183,             0.00792,              0.5772,             0.65076,             0.66685,             0.42722,            0.034431,             0.13374,           0.0093619,           0.0095446,           0.0095446,           0.0095446
                  25,            0.033397,             0.11271,           0.0075059,             0.58347,             0.67343,             0.67691,             0.44424,            0.031754,             0.13429,           0.0089471,           0.0095248,           0.0095248,           0.0095248
                  26,            0.034645,             0.11461,           0.0073781,             0.73764,             0.56719,             0.67573,             0.45347,             0.03084,             0.13262,           0.0087155,            0.009505,            0.009505,            0.009505
                  27,            0.035072,             0.11814,           0.0073373,             0.59976,             0.75072,             0.69595,             0.46493,            0.032005,             0.13053,           0.0088716,           0.0094852,           0.0094852,           0.0094852
                  28,            0.037211,             0.11946,           0.0072292,             0.57495,             0.74835,             0.69154,             0.46467,            0.031326,              0.1312,           0.0089124,           0.0094654,           0.0094654,           0.0094654
                  29,             0.03433,             0.10951,           0.0072615,             0.58642,             0.75037,             0.68328,             0.44197,            0.032536,             0.13375,            0.008911,           0.0094456,           0.0094456,           0.0094456
                  30,            0.034735,             0.11712,           0.0070796,             0.62461,             0.73632,             0.69624,             0.46371,            0.030619,             0.13151,           0.0086536,           0.0094258,           0.0094258,           0.0094258
                  31,            0.034612,              0.1202,           0.0067958,             0.61664,             0.77041,             0.71305,             0.46106,            0.032621,             0.13115,           0.0086006,            0.009406,            0.009406,            0.009406
                  32,            0.035745,             0.11575,           0.0068374,             0.64112,             0.73801,             0.70004,             0.46478,            0.032023,             0.13379,           0.0085109,           0.0093862,           0.0093862,           0.0093862
                  33,            0.033939,             0.11535,           0.0065388,             0.66022,             0.74561,             0.70235,             0.47276,            0.032188,             0.12869,            0.008944,           0.0093664,           0.0093664,           0.0093664
                  34,            0.034277,             0.10779,           0.0067254,             0.63334,             0.73898,             0.70325,             0.47577,            0.031494,             0.12931,           0.0091349,           0.0093466,           0.0093466,           0.0093466
                  35,            0.034729,             0.11759,           0.0064333,             0.63998,             0.74607,             0.72643,             0.47418,             0.03237,             0.13328,           0.0084914,           0.0093268,           0.0093268,           0.0093268
                  36,            0.033752,             0.11651,           0.0064124,             0.65173,             0.74472,             0.71685,             0.47357,            0.031889,             0.12871,           0.0082566,            0.009307,            0.009307,            0.009307
                  37,            0.034367,             0.11667,           0.0056369,             0.60572,             0.76764,             0.71304,             0.48317,            0.030858,             0.12796,           0.0082079,           0.0092872,           0.0092872,           0.0092872
                  38,            0.033188,             0.11112,           0.0059503,              0.7533,             0.63919,             0.73055,             0.49109,            0.029124,             0.12766,           0.0080893,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033053,             0.11028,           0.0061144,             0.76606,             0.63826,              0.7603,              0.4795,             0.03376,             0.12967,           0.0080916,           0.0092476,           0.0092476,           0.0092476
                  40,            0.034585,              0.1119,            0.006149,             0.67835,             0.74616,             0.73288,             0.48131,             0.02945,             0.12822,           0.0078092,           0.0092278,           0.0092278,           0.0092278
